       Month           VIRGO(new)      VIRGO(old)      DIARAD(org)     PMO6V(org)
       0.0000000       1360.6812       1365.6232       893.38997       845.70915
       1.0000000       1360.6717       1365.6136       1365.9455       1270.8094
       2.0000000       1360.6923       1365.6343       1365.9789       1223.5849
       3.0000000       1360.7224       1365.6645       1365.9653       1365.3615
       4.0000000       1360.6660       1365.6079       1365.9536       1365.2627
       5.0000000       1360.6710       1365.6129       1365.9668       1365.2582
       6.0000000       1360.6457       1365.5875       1365.9181       1365.2570
       7.0000000       1172.4362       1176.7408       1035.2620       1176.4561
       8.0000000       1360.7338       1365.6759       1365.9847       1365.3668
       9.0000000       1360.7599       1365.7021       1366.0273       1365.3782
       10.000000       1360.6640       1365.6059       1365.9183       1365.2920
       11.000000       1360.8334       1365.7759       1366.1061       1365.4443
       12.000000       1360.8028       1365.7452       1366.0958       1365.3947
       13.000000       1360.8429       1365.7855       1366.1444       1365.4279
       14.000000       1360.8245       1365.7670       1366.1311       1365.4025
       15.000000       1360.8014       1365.7437       1224.2974       1365.4042
       16.000000       1360.8406       1365.7831       1366.1036       1365.4632
       17.000000       1360.7795       1365.7218       1366.0327       1365.4134
       18.000000       1360.8218       1365.7642       1366.0715       1365.4555
       19.000000       1360.7386       1365.6807       1365.9859       1270.8974
       20.000000       1361.0458       1365.9890       1366.2914       1365.6863
       21.000000       1360.9717       1365.9147       1366.2388       1365.5905
       22.000000       1361.0333       1365.9765       1366.3296       1318.3854
       23.000000       1361.0866       1366.0300       1366.3986       1365.6609
       24.000000       1361.1304       1366.0740       1366.4523       1365.6962
       25.000000       1266.8090       1271.4332       1271.7747       1271.0923
       26.000000       1313.9972       1318.7812       1319.1179       1271.1976
       27.000000       1361.1258       1366.0694       1366.3943       1365.7445
       28.000000       1361.2011       1366.1449       1366.4472       1365.8454
       29.000000       324.91598       326.35123       279.16512       326.26374
       30.000000      -99.000000      -99.000000      -99.000000      -99.000000
       31.000000      -99.000000      -99.000000      -99.000000      -99.000000
       32.000000       230.81477       231.93145       184.71616       231.86429
       33.000000       1361.4524       1366.3971       1366.6856       1366.1099
       34.000000       1361.4214       1366.3660       1366.6990       1366.0348
       35.000000       183.66981       184.62686       184.69917       184.55333
       36.000000       277.88965       279.16571       279.26170       184.54849
       37.000000       1220.1841       1224.6505       1224.9881       1177.0457
       38.000000       1361.5734       1366.5186       1366.9107       1366.1261
       39.000000       1361.5211       1366.4661       1366.8436       1366.0879
       40.000000       1361.3362       1366.2805       1366.6084       1365.9527
       41.000000       1361.4983       1366.4432       1366.7482       1366.1386
       42.000000       1361.4796       1366.4244       1272.1831       1366.0955
       43.000000       1361.7907       1366.7367       1367.0937       1366.3803
       44.000000       1361.7518       1366.6976       1367.0658       1366.3295
       45.000000       1361.3318       1366.2761       1366.6556       1365.8942
       46.000000       1219.9587       1224.4243       941.03705       1129.5514
       47.000000       1314.4798       1319.2655       184.76509       1318.8803
       48.000000       1314.8111       1319.5981       1319.9951       1271.9149
       49.000000       1361.5432       1366.4882       1366.8895       1366.0867
       50.000000       1361.4997       1366.4446       1366.8319       1366.0577
       51.000000       1361.6489       1366.5944       1366.9653       1366.2223
       52.000000       1361.2894       1366.2336       1366.6072       1365.8611
       53.000000       1361.5496       1366.4947       1366.8544       1366.1355
       54.000000       1361.6602       1366.6057       1366.9503       1366.2591
       55.000000       1362.0035       1366.9503       1367.2856       1366.6143
       56.000000       1361.5071       1366.4521       1366.7819       1366.1185
       57.000000       1362.1701       1367.1174       1367.4821       1366.7565
       58.000000       1361.9292       1366.8757       1367.2157       1271.9709
       59.000000       1362.0200       1366.9668       1367.3457       1366.5905
       60.000000       1361.9541       1366.9006       1319.9662       1272.0033
       61.000000       1362.0432       1366.9901       1367.3735       1366.6044
       62.000000       1361.4386       1366.3833       1366.7758       1365.9846
       63.000000       1361.4031       1366.3476       1366.6916       1366.0049
       64.000000       1361.6049       1366.5502       1366.8565       1366.2456
       65.000000       1361.4733       1366.4181       1366.7138       1366.1243
       66.000000       1361.7904       1366.7363       1319.7359       1366.4393
       67.000000       1361.5394       1366.4844       1366.7973       1366.1720
       68.000000       1361.2514       1366.1954       1366.5024       1365.8839
       69.000000       1361.8349       1366.7810       1367.1669       1366.3992
       70.000000       1361.5327       1366.4777       1366.8402       1366.1154
       71.000000       1361.8222       1366.7683       1367.1098       1366.4231
       72.000000       1362.3596       1367.3077       1367.6766       1366.9369
       73.000000       1220.9307       1225.3999       1225.7572       1083.1543
       74.000000       1362.2217       1367.1692       1367.5645       1366.7730
       75.000000       1361.7263       1366.6720       1367.0710       1366.2715
       76.000000       1361.7104       1366.6560       1367.0191       1366.2934
       77.000000       1361.7302       1366.6759       1367.0139       1366.3354
       78.000000       1361.3745       1366.3189       1366.6636       1365.9803
       79.000000       1361.0962       1366.0396       1366.3250       1365.7210
       80.000000       1361.5062       1366.4511       1366.8328       1366.0719
       81.000000       1361.5735       1366.5187       1366.9549       1366.0910
       82.000000       1361.4068       1366.3513       1366.7663       1365.9337
       83.000000       1361.8122       1366.7583       1367.1641       1366.3522
       84.000000       1361.8619       1366.8082       1367.1826       1366.4314
       85.000000       1361.7713       1366.7172       1367.0833       1366.3481
       86.000000       1361.3081       1366.2523       1366.6180       1365.8848
       87.000000       1361.2557       1366.1998       1366.5509       1365.8466
       88.000000       1361.1956       1366.1394       1366.4955       1365.7838
       89.000000       1361.1705       1366.1142       1366.4353       1365.7905
       90.000000       1266.9559       1271.5806       988.25063       1271.3025
       91.000000       1361.1952       1366.1390       1366.4558       1365.8214
       92.000000       1361.5338       1366.4788       1366.8238       1366.1273
       93.000000       1361.3946       1366.3392       1366.6860       1365.9815
       94.000000       1360.2433       1365.1837       1365.5321       1364.8288
       95.000000       1361.1783       1366.1220       1366.4610       1365.7812
       96.000000       1361.1517       1366.0954       1177.3672       1365.7336
       97.000000       1361.3330       1366.2773       1366.6865       1365.8727
       98.000000       1361.0639       1366.0073       1366.4151       1365.5985
       99.000000       1267.0290       1271.6540       1224.7378       1271.2928
       100.00000       1078.5374       1082.5242       1082.8296       1082.2183
       101.00000       1361.0385       1365.9817       1366.3322       1318.3767
       102.00000       1313.8423       1318.6257       1271.6948       1271.0305
       103.00000       1360.5334       1365.4748       1365.8489       1365.1014
       104.00000       1360.9742       1365.9172       1366.2707       1318.3113
       105.00000       1361.1341       1366.0777       1271.8721       1365.7341
       106.00000       1360.8570       1365.7996       1366.1335       1365.4618
       107.00000       1314.1573       1318.9419       1319.2642       1271.3637
